 Europaparlamentswahl  1999 - Stimmen;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;LIF;;CSA;;KPÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41312;Hofkirchen im Mühlkreis       ;1 051;654;62,23;17;2,60;637;97,40;344;54,00;116;18,21;124;19,47;31;4,87;9;1,41;10;1,57;3;0,47;13.06.1999;23:04:02;13.06.1999;23:04:02
41313;Julbach                       ;1 232;662;53,73;28;4,23;634;95,77;287;45,27;201;31,70;110;17,35;27;4,26;2;0,32;6;0,95;1;0,16;13.06.1999;22:57:13;13.06.1999;22:57:13
41314;Kirchberg ob der Donau        ;811;533;65,72;17;3,19;516;96,81;248;48,06;125;24,22;98;18,99;29;5,62;7;1,36;3;0,58;6;1,16;13.06.1999;22:49:24;13.06.1999;22:49:24
41315;Klaffer am Hochficht          ;992;537;54,13;17;3,17;520;96,83;189;36,35;210;40,38;95;18,27;23;4,42;2;0,38;1;0,19;0;0,00;13.06.1999;22:40:53;13.06.1999;22:40:53
41316;Kleinzell im Mühlkreis        ;1 053;665;63,15;39;5,86;626;94,14;275;43,93;183;29,23;117;18,69;31;4,95;7;1,12;9;1,44;4;0,64;13.06.1999;23:02:31;13.06.1999;23:02:31
41317;Kollerschlag                  ;1 071;655;61,16;22;3,36;633;96,64;356;56,24;98;15,48;141;22,27;11;1,74;3;0,47;22;3,48;2;0,32;13.06.1999;22:54:08;13.06.1999;22:54:08
41318;Lembach im Mühlkreis          ;1 138;699;61,42;25;3,58;674;96,42;301;44,66;155;23,00;158;23,44;31;4,60;5;0,74;21;3,12;3;0,45;13.06.1999;22:58:39;13.06.1999;22:58:39
41319;Lichtenau im Mühlkreis        ;424;329;77,59;19;5,78;310;94,22;176;56,77;67;21,61;57;18,39;6;1,94;1;0,32;3;0,97;0;0,00;13.06.1999;22:37:20;13.06.1999;22:37:20
41320;Nebelberg                     ;448;336;75,00;12;3,57;324;96,43;213;65,74;54;16,67;41;12,65;8;2,47;0;0,00;8;2,47;0;0,00;13.06.1999;22:27:03;13.06.1999;22:27:03
41321;Neufelden                     ;886;531;59,93;15;2,82;516;97,18;259;50,19;109;21,12;83;16,09;46;8,91;11;2,13;3;0,58;5;0,97;13.06.1999;23:06:51;13.06.1999;23:06:51
41322;Niederkappel                  ;759;505;66,53;26;5,15;479;94,85;272;56,78;83;17,33;95;19,83;15;3,13;0;0,00;12;2,51;2;0,42;13.06.1999;22:33:13;13.06.1999;22:33:13
41323;Niederwaldkirchen             ;1 291;859;66,54;26;3,03;833;96,97;486;58,34;125;15,01;151;18,13;55;6,60;11;1,32;4;0,48;1;0,12;13.06.1999;22:48:25;13.06.1999;22:48:25
41324;Oberkappel                    ;502;294;58,57;20;6,80;274;93,20;134;48,91;50;18,25;64;23,36;7;2,55;5;1,82;14;5,11;0;0,00;13.06.1999;22:53:16;13.06.1999;22:53:16
41325;Oepping                       ;1 127;654;58,03;28;4,28;626;95,72;346;55,27;139;22,20;95;15,18;35;5,59;4;0,64;5;0,80;2;0,32;13.06.1999;23:18:43;13.06.1999;23:18:43
41326;Peilstein im Mühlviertel      ;1 206;741;61,44;47;6,34;694;93,66;378;54,47;161;23,20;116;16,71;28;4,03;4;0,58;6;0,86;1;0,14;13.06.1999;23:00:15;13.06.1999;23:00:15
41327;Pfarrkirchen im Mühlkreis     ;1 077;584;54,22;12;2,05;572;97,95;351;61,36;71;12,41;86;15,03;49;8,57;5;0,87;7;1,22;3;0,52;13.06.1999;22:51:37;13.06.1999;22:51:37
41328;Putzleinsdorf                 ;1 087;641;58,97;22;3,43;619;96,57;348;56,22;61;9,85;144;23,26;47;7,59;9;1,45;9;1,45;1;0,16;13.06.1999;23:03:20;13.06.1999;23:03:20
