Europawahl  7. Juni 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;MARTIN;;GRÜNE;;FPÖ;;KPÖ;;JuLis;;BZÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41414;Raab                          ;1.865; 	878 ; 	47,08 ; 	30 ; 	3,42 ; 	848 ; 	96,58 ; 	100 ; 	11,79 ; 	261 ; 	30,78 ; 	107 ; 	12,62 ; 	71 ; 	8,37 ; 	247 ; 	29,13 ; 	3 ; 	0,35 ; 	7 ; 	0,83 ; 	52 ; 	6,13 ;6/7/09;6/7/09;6/7/09;6/7/09
41415;Rainbach im Innkreis          ;1.188; 	590 ; 	49,66 ; 	9 ; 	1,53 ; 	581 ; 	98,47 ; 	90 ; 	15,49 ; 	270 ; 	46,47 ; 	71 ; 	12,22 ; 	26 ; 	4,48 ; 	97 ; 	16,70 ; 	0 ; 	0 ; 	1 ; 	0,17 ; 	26 ; 	4,48 ;6/7/09;6/7/09;6/7/09;6/7/09
41416;Riedau                        ;1.563; 	723 ; 	46,26 ; 	16 ; 	2,21 ; 	707 ; 	97,79 ; 	184 ; 	26,03 ; 	191 ; 	27,02 ; 	112 ; 	15,84 ; 	49 ; 	6,93 ; 	136 ; 	19,24 ; 	2 ; 	0,28 ; 	1 ; 	0,14 ; 	32 ; 	4,53 ;6/7/09;6/7/09;6/7/09;6/7/09
41417;St.Aegidi                     ;1.323; 	830 ; 	62,74 ; 	20 ; 	2,41 ; 	810 ; 	97,59 ; 	64 ; 	7,90 ; 	428 ; 	52,84 ; 	76 ; 	9,38 ; 	27 ; 	3,33 ; 	171 ; 	21,11 ; 	1 ; 	0,12 ; 	2 ; 	0,25 ; 	41 ; 	5,06 ;6/7/09;6/7/09;6/7/09;6/7/09
41418;St.Florian am Inn             ;2.425; 	1.163 ; 	47,96 ; 	20 ; 	1,72 ; 	1.143 ; 	98,28 ; 	278 ; 	24,32 ; 	301 ; 	26,33 ; 	176 ; 	15,40 ; 	70 ; 	6,12 ; 	281 ; 	24,58 ; 	1 ; 	0,09 ; 	2 ; 	0,17 ; 	34 ; 	2,97 ;6/7/09;6/7/09;6/7/09;6/7/09
41419;St.Marienkirchen bei Schärding;1.466; 	654 ; 	44,61 ; 	11 ; 	1,68 ; 	643 ; 	98,32 ; 	85 ; 	13,22 ; 	230 ; 	35,77 ; 	96 ; 	14,93 ; 	37 ; 	5,75 ; 	161 ; 	25,04 ; 	2 ; 	0,31 ; 	2 ; 	0,31 ; 	30 ; 	4,67 ;6/7/09;6/7/09;6/7/09;6/7/09
41420;St.Roman                      ;1.419; 	681 ; 	47,99 ; 	11 ; 	1,62 ; 	670 ; 	98,38 ; 	46 ; 	6,87 ; 	352 ; 	52,54 ; 	74 ; 	11,04 ; 	15 ; 	2,24 ; 	132 ; 	19,70 ; 	3 ; 	0,45 ; 	1 ; 	0,15 ; 	47 ; 	7,01 ;6/7/09;6/7/09;6/7/09;6/7/09
41421;St.Willibald                  ;939; 	450 ; 	47,92 ; 	9 ; 	2,00 ; 	441 ; 	98,00 ; 	68 ; 	15,42 ; 	175 ; 	39,68 ; 	70 ; 	15,87 ; 	11 ; 	2,49 ; 	87 ; 	19,73 ; 	1 ; 	0,23 ; 	0 ; 	0 ; 	29 ; 	6,58 ;6/7/09;6/7/09;6/7/09;6/7/09
41422;Schärding                     ;3.885; 	1.776 ; 	45,71 ; 	29 ; 	1,63 ; 	1.747 ; 	98,37 ; 	424 ; 	24,27 ; 	491 ; 	28,11 ; 	231 ; 	13,22 ; 	128 ; 	7,33 ; 	398 ; 	22,78 ; 	5 ; 	0,29 ; 	7 ; 	0,40 ; 	63 ; 	3,61 ;6/7/09;6/7/09;6/7/09;6/7/09
41423;Schardenberg                  ;1.762; 	929 ; 	52,72 ; 	22 ; 	2,37 ; 	907 ; 	97,63 ; 	78 ; 	8,60 ; 	482 ; 	53,14 ; 	113 ; 	12,46 ; 	33 ; 	3,64 ; 	147 ; 	16,21 ; 	2 ; 	0,22 ; 	3 ; 	0,33 ; 	49 ; 	5,40 ;6/7/09;6/7/09;6/7/09;6/7/09
41424;Sigharting                    ;640; 	417 ; 	65,16 ; 	9 ; 	2,16 ; 	408 ; 	97,84 ; 	32 ; 	7,84 ; 	184 ; 	45,10 ; 	53 ; 	12,99 ; 	12 ; 	2,94 ; 	68 ; 	16,67 ; 	0 ; 	0 ; 	0 ; 	0 ; 	59 ; 	14,46 ;6/7/09;6/7/09;6/7/09;6/7/09
41425;Suben                         ;950; 	460 ; 	48,42 ; 	7 ; 	1,52 ; 	453 ; 	98,48 ; 	79 ; 	17,44 ; 	171 ; 	37,75 ; 	72 ; 	15,89 ; 	19 ; 	4,19 ; 	79 ; 	17,44 ; 	0 ; 	0 ; 	1 ; 	0,22 ; 	32 ; 	7,06 ;6/7/09;6/7/09;6/7/09;6/7/09
41426;Taufkirchen an der Pram       ;2.297; 	991 ; 	43,14 ; 	25 ; 	2,52 ; 	966 ; 	97,48 ; 	194 ; 	20,08 ; 	395 ; 	40,89 ; 	130 ; 	13,46 ; 	48 ; 	4,97 ; 	147 ; 	15,22 ; 	3 ; 	0,31 ; 	8 ; 	0,83 ; 	41 ; 	4,24 ;6/7/09;6/7/09;6/7/09;6/7/09
41427;Vichtenstein                  ;507; 	257 ; 	50,69 ; 	3 ; 	1,17 ; 	254 ; 	98,83 ; 	23 ; 	9,06 ; 	136 ; 	53,54 ; 	31 ; 	12,20 ; 	5 ; 	1,97 ; 	49 ; 	19,29 ; 	0 ; 	0 ; 	0 ; 	0 ; 	10 ; 	3,94 ;6/7/09;6/7/09;6/7/09;6/7/09
41428;Waldkirchen am Wesen          ;1.060; 	649 ; 	61,23 ; 	19 ; 	2,93 ; 	630 ; 	97,07 ; 	117 ; 	18,57 ; 	268 ; 	42,54 ; 	86 ; 	13,65 ; 	19 ; 	3,02 ; 	115 ; 	18,25 ; 	0 ; 	0 ; 	2 ; 	0,32 ; 	23 ; 	3,65 ;6/7/09;6/7/09;6/7/09;6/7/09
41429;Wernstein am Inn              ;1.217; 	643 ; 	52,83 ; 	10 ; 	1,56 ; 	633 ; 	98,44 ; 	142 ; 	22,43 ; 	254 ; 	40,13 ; 	87 ; 	13,74 ; 	28 ; 	4,42 ; 	96 ; 	15,17 ; 	1 ; 	0,16 ; 	4 ; 	0,63 ; 	21 ; 	3,32 ;6/7/09;6/7/09;6/7/09;6/7/09
41430;Zell an der Pram              ;1.581; 	736 ; 	46,55 ; 	23 ; 	3,13 ; 	713 ; 	96,88 ; 	80 ; 	11,22 ; 	358 ; 	50,21 ; 	91 ; 	12,76 ; 	54 ; 	7,57 ; 	103 ; 	14,45 ; 	0 ; 	0 ; 	2 ; 	0,28 ; 	25 ; 	3,51 ;6/7/09;6/7/09;6/7/09;6/7/09
41499;Wahlkarten Schärding                     ;0; 	1.132 ; 	0 ; 	12 ; 	1,06 ; 	1.120 ; 	98,94 ; 	172 ; 	15,36 ; 	500 ; 	44,64 ; 	106 ; 	9,46 ; 	181 ; 	16,16 ; 	109 ; 	9,73 ; 	7 ; 	0,63 ; 	8 ; 	0,71 ; 	37 ; 	3,30 ;6/9/09;6/9/09;6/15/09;6/15/09
41500;Bezirk Steyr-Land                    ;47.394; 	26.362 ; 	55,62 ; 	674 ; 	2,56 ; 	25.688 ; 	97,44 ; 	5.913 ; 	23,02 ; 	8.447 ; 	32,88 ; 	4.831 ; 	18,81 ; 	1.926 ; 	7,50 ; 	2.965 ; 	11,54 ; 	104 ; 	0,40 ; 	128 ; 	0,50 ; 	1.374 ; 	5,35 ;6/7/09;6/7/09;6/15/09;6/15/09
41501;Adlwang                       ;1.285; 	693 ; 	53,93 ; 	23 ; 	3,32 ; 	670 ; 	96,68 ; 	75 ; 	11,19 ; 	291 ; 	43,43 ; 	102 ; 	15,22 ; 	53 ; 	7,91 ; 	105 ; 	15,67 ; 	0 ; 	0 ; 	2 ; 	0,30 ; 	42 ; 	6,27 ;6/7/09;6/7/09;6/7/09;6/7/09
41502;Aschach an der Steyr          ;1.793; 	1.000 ; 	55,77 ; 	24 ; 	2,40 ; 	976 ; 	97,60 ; 	176 ; 	18,03 ; 	365 ; 	37,40 ; 	162 ; 	16,60 ; 	91 ; 	9,32 ; 	123 ; 	12,60 ; 	4 ; 	0,41 ; 	9 ; 	0,92 ; 	46 ; 	4,71 ;6/7/09;6/7/09;6/7/09;6/7/09
41503;Bad Hall                      ;3.820; 	1.754 ; 	45,92 ; 	36 ; 	2,05 ; 	1.718 ; 	97,95 ; 	375 ; 	21,83 ; 	466 ; 	27,12 ; 	339 ; 	19,73 ; 	122 ; 	7,10 ; 	260 ; 	15,13 ; 	7 ; 	0,41 ; 	7 ; 	0,41 ; 	142 ; 	8,27 ;6/7/09;6/7/09;6/7/09;6/7/09
41504;Dietach                       ;2.215; 	1.141 ; 	51,51 ; 	23 ; 	2,02 ; 	1.118 ; 	97,98 ; 	239 ; 	21,38 ; 	358 ; 	32,02 ; 	216 ; 	19,32 ; 	117 ; 	10,47 ; 	114 ; 	10,20 ; 	6 ; 	0,54 ; 	9 ; 	0,81 ; 	59 ; 	5,28 ;6/7/09;6/7/09;6/7/09;6/7/09
41505;Gaflenz                       ;1.476; 	739 ; 	50,07 ; 	15 ; 	2,03 ; 	724 ; 	97,97 ; 	110 ; 	15,19 ; 	326 ; 	45,03 ; 	133 ; 	18,37 ; 	40 ; 	5,52 ; 	73 ; 	10,08 ; 	0 ; 	0 ; 	6 ; 	0,83 ; 	36 ; 	4,97 ;6/7/09;6/7/09;6/7/09;6/7/09
41506;Garsten                       ;5.266; 	2.749 ; 	52,20 ; 	79 ; 	2,87 ; 	2.670 ; 	97,13 ; 	618 ; 	23,15 ; 	801 ; 	30,00 ; 	532 ; 	19,93 ; 	272 ; 	10,19 ; 	305 ; 	11,42 ; 	12 ; 	0,45 ; 	15 ; 	0,56 ; 	115 ; 	4,31 ;6/7/09;6/7/09;6/7/09;6/7/09
41507;Großraming                    ;2.250; 	1.256 ; 	55,82 ; 	45 ; 	3,58 ; 	1.211 ; 	96,42 ; 	315 ; 	26,01 ; 	439 ; 	36,25 ; 	200 ; 	16,52 ; 	68 ; 	5,62 ; 	129 ; 	10,65 ; 	4 ; 	0,33 ; 	7 ; 	0,58 ; 	49 ; 	4,05 ;6/7/09;6/7/09;6/7/09;6/7/09
41508;Laussa                        ;1.054; 	589 ; 	55,88 ; 	26 ; 	4,41 ; 	563 ; 	95,59 ; 	100 ; 	17,76 ; 	177 ; 	31,44 ; 	117 ; 	20,78 ; 	29 ; 	5,15 ; 	62 ; 	11,01 ; 	2 ; 	0,36 ; 	1 ; 	0,18 ; 	75 ; 	13,32 ;6/7/09;6/7/09;6/7/09;6/7/09
41509;Losenstein                    ;1.371; 	687 ; 	50,11 ; 	11 ; 	1,60 ; 	676 ; 	98,40 ; 	195 ; 	28,85 ; 	214 ; 	31,66 ; 	141 ; 	20,86 ; 	31 ; 	4,59 ; 	66 ; 	9,76 ; 	1 ; 	0,15 ; 	5 ; 	0,74 ; 	23 ; 	3,40 ;6/7/09;6/7/09;6/7/09;6/7/09
41510;Maria Neustift                ;1.349; 	753 ; 	55,82 ; 	31 ; 	4,12 ; 	722 ; 	95,88 ; 	70 ; 	9,70 ; 	403 ; 	55,82 ; 	112 ; 	15,51 ; 	21 ; 	2,91 ; 	66 ; 	9,14 ; 	2 ; 	0,28 ; 	2 ; 	0,28 ; 	46 ; 	6,37 ;6/7/09;6/7/09;6/7/09;6/7/09
41511;Pfarrkirchen bei Bad Hall     ;1.711; 	755 ; 	44,13 ; 	23 ; 	3,05 ; 	732 ; 	96,95 ; 	164 ; 	22,40 ; 	224 ; 	30,60 ; 	156 ; 	21,31 ; 	56 ; 	7,65 ; 	82 ; 	11,20 ; 	8 ; 	1,09 ; 	1 ; 	0,14 ; 	41 ; 	5,60 ;6/7/09;6/7/09;6/7/09;6/7/09
41512;Reichraming                   ;1.494; 	767 ; 	51,34 ; 	11 ; 	1,43 ; 	756 ; 	98,57 ; 	309 ; 	40,87 ; 	136 ; 	17,99 ; 	170 ; 	22,49 ; 	34 ; 	4,50 ; 	77 ; 	10,19 ; 	1 ; 	0,13 ; 	1 ; 	0,13 ; 	28 ; 	3,70 ;6/7/09;6/7/09;6/7/09;6/7/09
41513;Rohr im Kremstal              ;978; 	466 ; 	47,65 ; 	7 ; 	1,50 ; 	459 ; 	98,50 ; 	78 ; 	16,99 ; 	201 ; 	43,79 ; 	88 ; 	19,17 ; 	25 ; 	5,45 ; 	41 ; 	8,93 ; 	0 ; 	0 ; 	3 ; 	0,65 ; 	23 ; 	5,01 ;6/7/09;6/7/09;6/7/09;6/7/09
41514;St.Ulrich bei Steyr           ;2.503; 	1.384 ; 	55,29 ; 	49 ; 	3,54 ; 	1.335 ; 	96,46 ; 	247 ; 	18,50 ; 	468 ; 	35,06 ; 	260 ; 	19,48 ; 	126 ; 	9,44 ; 	160 ; 	11,99 ; 	3 ; 	0,22 ; 	6 ; 	0,45 ; 	65 ; 	4,87 ;6/7/09;6/7/09;6/7/09;6/7/09
41515;Schiedlberg                   ;1.009; 	621 ; 	61,55 ; 	16 ; 	2,58 ; 	605 ; 	97,42 ; 	69 ; 	11,40 ; 	363 ; 	60,00 ; 	66 ; 	10,91 ; 	19 ; 	3,14 ; 	59 ; 	9,75 ; 	0 ; 	0 ; 	2 ; 	0,33 ; 	27 ; 	4,46 ;6/7/09;6/7/09;6/7/09;6/7/09
41516;Sierning                      ;7.258; 	3.777 ; 	52,04 ; 	91 ; 	2,41 ; 	3.686 ; 	97,59 ; 	1.162 ; 	31,52 ; 	830 ; 	22,52 ; 	770 ; 	20,89 ; 	190 ; 	5,15 ; 	533 ; 	14,46 ; 	11 ; 	0,30 ; 	16 ; 	0,43 ; 	174 ; 	4,72 ;6/7/09;6/7/09;6/7/09;6/7/09
41517;Ternberg                      ;2.737; 	1.419 ; 	51,85 ; 	41 ; 	2,89 ; 	1.378 ; 	97,11 ; 	276 ; 	20,03 ; 	435 ; 	31,57 ; 	277 ; 	20,10 ; 	95 ; 	6,89 ; 	170 ; 	12,34 ; 	5 ; 	0,36 ; 	7 ; 	0,51 ; 	113 ; 	8,20 ;6/7/09;6/7/09;6/7/09;6/7/09
41518;Waldneukirchen                ;1.763; 	975 ; 	55,30 ; 	32 ; 	3,28 ; 	943 ; 	96,72 ; 	159 ; 	16,86 ; 	404 ; 	42,84 ; 	129 ; 	13,68 ; 	67 ; 	7,10 ; 	111 ; 	11,77 ; 	1 ; 	0,11 ; 	5 ; 	0,53 ; 	67 ; 	7,10 ;6/7/09;6/7/09;6/7/09;6/7/09
41521;Wolfern                       ;2.432; 	1.342 ; 	55,18 ; 	30 ; 	2,24 ; 	1.312 ; 	97,76 ; 	303 ; 	23,09 ; 	492 ; 	37,50 ; 	219 ; 	16,69 ; 	83 ; 	6,33 ; 	151 ; 	11,51 ; 	11 ; 	0,84 ; 	7 ; 	0,53 ; 	46 ; 	3,51 ;6/7/09;6/7/09;6/7/09;6/7/09
41522;Weyer  ;3.630; 	1.779 ; 	49,01 ; 	45 ; 	2,53 ; 	1.734 ; 	97,47 ; 	506 ; 	29,18 ; 	427 ; 	24,63 ; 	377 ; 	21,74 ; 	149 ; 	8,59 ; 	169 ; 	9,75 ; 	19 ; 	1,10 ; 	1 ; 	0,06 ; 	86 ; 	4,96 ;6/7/09;6/7/09;6/7/09;6/7/09
41599;Wahlkarten Steyr-Land                    ;0; 	1.716 ; 	0 ; 	16 ; 	0,93 ; 	1.700 ; 	99,07 ; 	367 ; 	21,59 ; 	627 ; 	36,88 ; 	265 ; 	15,59 ; 	238 ; 	14,00 ; 	109 ; 	6,41 ; 	7 ; 	0,41 ; 	16 ; 	0,94 ; 	71 ; 	4,18 ;6/9/09;6/9/09;6/15/09;6/15/09
41600;Bezirk Urfahr-Umgebung               ;65.261; 	37.601 ; 	57,62 ; 	960 ; 	2,55 ; 	36.641 ; 	97,45 ; 	7.367 ; 	20,11 ; 	13.282 ; 	36,25 ; 	6.195 ; 	16,91 ; 	4.158 ; 	11,35 ; 	3.807 ; 	10,39 ; 	218 ; 	0,59 ; 	244 ; 	0,67 ; 	1.370 ; 	3,74 ;6/7/09;6/7/09;6/15/09;6/15/09
41601;Alberndorf in der Riedmark    ;3.024; 	1.632 ; 	53,97 ; 	49 ; 	3,00 ; 	1.583 ; 	97,00 ; 	247 ; 	15,60 ; 	587 ; 	37,08 ; 	305 ; 	19,27 ; 	137 ; 	8,65 ; 	220 ; 	13,90 ; 	16 ; 	1,01 ; 	9 ; 	0,57 ; 	62 ; 	3,92 ;6/7/09;6/7/09;6/7/09;6/7/09
41602;Altenberg bei Linz            ;3.479; 	2.064 ; 	59,33 ; 	59 ; 	2,86 ; 	2.005 ; 	97,14 ; 	275 ; 	13,72 ; 	869 ; 	43,34 ; 	298 ; 	14,86 ; 	220 ; 	10,97 ; 	235 ; 	11,72 ; 	7 ; 	0,35 ; 	10 ; 	0,50 ; 	91 ; 	4,54 ;6/7/09;6/7/09;6/7/09;6/7/09
41603;Bad Leonfelden                ;3.209; 	1.773 ; 	55,25 ; 	76 ; 	4,29 ; 	1.697 ; 	95,71 ; 	205 ; 	12,08 ; 	725 ; 	42,72 ; 	322 ; 	18,97 ; 	127 ; 	7,48 ; 	203 ; 	11,96 ; 	13 ; 	0,77 ; 	11 ; 	0,65 ; 	91 ; 	5,36 ;6/7/09;6/7/09;6/7/09;6/7/09
41604;Eidenberg                     ;1.575; 	850 ; 	53,97 ; 	23 ; 	2,71 ; 	827 ; 	97,29 ; 	91 ; 	11,00 ; 	428 ; 	51,75 ; 	131 ; 	15,84 ; 	67 ; 	8,10 ; 	63 ; 	7,62 ; 	0 ; 	0 ; 	6 ; 	0,73 ; 	41 ; 	4,96 ;6/7/09;6/7/09;6/7/09;6/7/09
41605;Engerwitzdorf                 ;6.673; 	3.558 ; 	53,32 ; 	111 ; 	3,12 ; 	3.447 ; 	96,88 ; 	785 ; 	22,77 ; 	918 ; 	26,63 ; 	760 ; 	22,05 ; 	381 ; 	11,05 ; 	432 ; 	12,53 ; 	19 ; 	0,55 ; 	27 ; 	0,78 ; 	125 ; 	3,63 ;6/7/09;6/7/09;6/7/09;6/7/09
41606;Feldkirchen an der Donau      ;4.240; 	2.425 ; 	57,19 ; 	73 ; 	3,01 ; 	2.352 ; 	96,99 ; 	576 ; 	24,49 ; 	736 ; 	31,29 ; 	425 ; 	18,07 ; 	166 ; 	7,06 ; 	266 ; 	11,31 ; 	7 ; 	0,30 ; 	17 ; 	0,72 ; 	159 ; 	6,76 ;6/7/09;6/7/09;6/7/09;6/7/09
41607;Gallneukirchen                ;4.955; 	2.588 ; 	52,23 ; 	59 ; 	2,28 ; 	2.529 ; 	97,72 ; 	587 ; 	23,21 ; 	670 ; 	26,49 ; 	437 ; 	17,28 ; 	474 ; 	18,74 ; 	251 ; 	9,92 ; 	22 ; 	0,87 ; 	17 ; 	0,67 ; 	71 ; 	2,81 ;6/7/09;6/7/09;6/7/09;6/7/09
41608;Goldwörth                     ;742; 	388 ; 	52,29 ; 	8 ; 	2,06 ; 	380 ; 	97,94 ; 	69 ; 	18,16 ; 	172 ; 	45,26 ; 	55 ; 	14,47 ; 	29 ; 	7,63 ; 	36 ; 	9,47 ; 	1 ; 	0,26 ; 	1 ; 	0,26 ; 	17 ; 	4,47 ;6/7/09;6/7/09;6/7/09;6/7/09
41609;Gramastetten                  ;3.776; 	1.989 ; 	52,67 ; 	47 ; 	2,36 ; 	1.942 ; 	97,64 ; 	333 ; 	17,15 ; 	831 ; 	42,79 ; 	285 ; 	14,68 ; 	206 ; 	10,61 ; 	187 ; 	9,63 ; 	12 ; 	0,62 ; 	16 ; 	0,82 ; 	72 ; 	3,71 ;6/7/09;6/7/09;6/7/09;6/7/09
41610;Haibach im Mühlkreis          ;665; 	375 ; 	56,39 ; 	15 ; 	4,00 ; 	360 ; 	96,00 ; 	77 ; 	21,39 ; 	166 ; 	46,11 ; 	52 ; 	14,44 ; 	28 ; 	7,78 ; 	28 ; 	7,78 ; 	1 ; 	0,28 ; 	1 ; 	0,28 ; 	7 ; 	1,94 ;6/7/09;6/7/09;6/7/09;6/7/09
41611;Hellmonsödt                   ;1.749; 	931 ; 	53,23 ; 	17 ; 	1,83 ; 	914 ; 	98,17 ; 	184 ; 	20,13 ; 	303 ; 	33,15 ; 	142 ; 	15,54 ; 	115 ; 	12,58 ; 	135 ; 	14,77 ; 	4 ; 	0,44 ; 	5 ; 	0,55 ; 	26 ; 	2,84 ;6/7/09;6/7/09;6/7/09;6/7/09
41612;Herzogsdorf                   ;1.977; 	1.023 ; 	51,75 ; 	26 ; 	2,54 ; 	997 ; 	97,46 ; 	125 ; 	12,54 ; 	490 ; 	49,15 ; 	156 ; 	15,65 ; 	58 ; 	5,82 ; 	124 ; 	12,44 ; 	3 ; 	0,30 ; 	0 ; 	0 ; 	41 ; 	4,11 ;6/7/09;6/7/09;6/7/09;6/7/09
41613;Kirchschlag bei Linz          ;1.596; 	872 ; 	54,64 ; 	29 ; 	3,33 ; 	843 ; 	96,67 ; 	141 ; 	16,73 ; 	328 ; 	38,91 ; 	138 ; 	16,37 ; 	105 ; 	12,46 ; 	94 ; 	11,15 ; 	6 ; 	0,71 ; 	2 ; 	0,24 ; 	29 ; 	3,44 ;6/7/09;6/7/09;6/7/09;6/7/09
41614;Lichtenberg                   ;2.151; 	1.215 ; 	56,49 ; 	25 ; 	2,06 ; 	1.190 ; 	97,94 ; 	232 ; 	19,50 ; 	484 ; 	40,67 ; 	175 ; 	14,71 ; 	149 ; 	12,52 ; 	105 ; 	8,82 ; 	6 ; 	0,50 ; 	6 ; 	0,50 ; 	33 ; 	2,77 ;6/7/09;6/7/09;6/7/09;6/7/09
41615;Oberneukirchen                ;2.546; 	1.294 ; 	50,82 ; 	41 ; 	3,17 ; 	1.253 ; 	96,83 ; 	216 ; 	17,24 ; 	542 ; 	43,26 ; 	199 ; 	15,88 ; 	136 ; 	10,85 ; 	108 ; 	8,62 ; 	9 ; 	0,72 ; 	8 ; 	0,64 ; 	35 ; 	2,79 ;6/7/09;6/7/09;6/7/09;6/7/09
41616;Ottenschlag im Mühlkreis      ;406; 	229 ; 	56,40 ; 	7 ; 	3,06 ; 	222 ; 	96,94 ; 	40 ; 	18,02 ; 	89 ; 	40,09 ; 	38 ; 	17,12 ; 	12 ; 	5,41 ; 	27 ; 	12,16 ; 	0 ; 	0 ; 	1 ; 	0,45 ; 	15 ; 	6,76 ;6/7/09;6/7/09;6/7/09;6/7/09
41617;Ottensheim                    ;3.603; 	1.935 ; 	53,71 ; 	38 ; 	1,96 ; 	1.897 ; 	98,04 ; 	389 ; 	20,51 ; 	601 ; 	31,68 ; 	274 ; 	14,44 ; 	357 ; 	18,82 ; 	184 ; 	9,70 ; 	14 ; 	0,74 ; 	16 ; 	0,84 ; 	62 ; 	3,27 ;6/7/09;6/7/09;6/7/09;6/7/09
41618;Puchenau                      ;3.776; 	2.011 ; 	53,26 ; 	38 ; 	1,89 ; 	1.973 ; 	98,11 ; 	471 ; 	23,87 ; 	601 ; 	30,46 ; 	337 ; 	17,08 ; 	317 ; 	16,07 ; 	164 ; 	8,31 ; 	19 ; 	0,96 ; 	17 ; 	0,86 ; 	47 ; 	2,38 ;6/7/09;6/7/09;6/7/09;6/7/09
41619;Reichenau im Mühlkreis        ;972; 	551 ; 	56,69 ; 	11 ; 	2,00 ; 	540 ; 	98,00 ; 	102 ; 	18,89 ; 	207 ; 	38,33 ; 	98 ; 	18,15 ; 	58 ; 	10,74 ; 	54 ; 	10,00 ; 	2 ; 	0,37 ; 	2 ; 	0,37 ; 	17 ; 	3,15 ;6/7/09;6/7/09;6/7/09;6/7/09
41620;Reichenthal                   ;1.134; 	587 ; 	51,76 ; 	14 ; 	2,39 ; 	573 ; 	97,61 ; 	104 ; 	18,15 ; 	287 ; 	50,09 ; 	69 ; 	12,04 ; 	31 ; 	5,41 ; 	56 ; 	9,77 ; 	2 ; 	0,35 ; 	3 ; 	0,52 ; 	21 ; 	3,66 ;6/7/09;6/7/09;6/7/09;6/7/09
41621;St.Gotthard im Mühlkreis      ;1.049; 	598 ; 	57,01 ; 	11 ; 	1,84 ; 	587 ; 	98,16 ; 	127 ; 	21,64 ; 	208 ; 	35,43 ; 	101 ; 	17,21 ; 	53 ; 	9,03 ; 	80 ; 	13,63 ; 	1 ; 	0,17 ; 	2 ; 	0,34 ; 	15 ; 	2,56 ;6/7/09;6/7/09;6/7/09;6/7/09
41622;Schenkenfelden                ;1.259; 	642 ; 	50,99 ; 	18 ; 	2,80 ; 	624 ; 	97,20 ; 	99 ; 	15,87 ; 	309 ; 	49,52 ; 	84 ; 	13,46 ; 	33 ; 	5,29 ; 	66 ; 	10,58 ; 	1 ; 	0,16 ; 	1 ; 	0,16 ; 	31 ; 	4,97 ;6/7/09;6/7/09;6/7/09;6/7/09
41623;Sonnberg im Mühlkreis         ;664; 	332 ; 	50,00 ; 	9 ; 	2,71 ; 	323 ; 	97,29 ; 	55 ; 	17,03 ; 	138 ; 	42,72 ; 	62 ; 	19,20 ; 	27 ; 	8,36 ; 	32 ; 	9,91 ; 	2 ; 	0,62 ; 	2 ; 	0,62 ; 	5 ; 	1,55 ;6/7/09;6/7/09;6/7/09;6/7/09
41624;Steyregg                      ;3.836; 	1.934 ; 	50,42 ; 	34 ; 	1,76 ; 	1.900 ; 	98,24 ; 	577 ; 	30,37 ; 	435 ; 	22,89 ; 	420 ; 	22,11 ; 	162 ; 	8,53 ; 	205 ; 	10,79 ; 	10 ; 	0,53 ; 	10 ; 	0,53 ; 	81 ; 	4,26 ;6/7/09;6/7/09;6/7/09;6/7/09
41625;Vorderweißenbach              ;1.641; 	897 ; 	54,66 ; 	25 ; 	2,79 ; 	872 ; 	97,21 ; 	109 ; 	12,50 ; 	471 ; 	54,01 ; 	119 ; 	13,65 ; 	46 ; 	5,28 ; 	98 ; 	11,24 ; 	2 ; 	0,23 ; 	2 ; 	0,23 ; 	25 ; 	2,87 ;6/7/09;6/7/09;6/7/09;6/7/09
41626;Walding                       ;3.168; 	1.708 ; 	53,91 ; 	41 ; 	2,40 ; 	1.667 ; 	97,60 ; 	533 ; 	31,97 ; 	521 ; 	31,25 ; 	262 ; 	15,72 ; 	146 ; 	8,76 ; 	119 ; 	7,14 ; 	9 ; 	0,54 ; 	12 ; 	0,72 ; 	65 ; 	3,90 ;6/7/09;6/7/09;6/7/09;6/7/09
41627;Zwettl an der Rodl            ;1.396; 	799 ; 	57,23 ; 	25 ; 	3,13 ; 	774 ; 	96,87 ; 	119 ; 	15,37 ; 	347 ; 	44,83 ; 	128 ; 	16,54 ; 	81 ; 	10,47 ; 	64 ; 	8,27 ; 	10 ; 	1,29 ; 	9 ; 	1,16 ; 	16 ; 	2,07 ;6/7/09;6/7/09;6/7/09;6/7/09
41699;Wahlkarten Urfahr-Umgebung               ;0; 	2.401 ; 	0 ; 	31 ; 	1,29 ; 	2.370 ; 	98,71 ; 	499 ; 	21,05 ; 	819 ; 	34,56 ; 	323 ; 	13,63 ; 	437 ; 	18,44 ; 	171 ; 	7,22 ; 	20 ; 	0,84 ; 	31 ; 	1,31 ; 	70 ; 	2,95 ;6/9/09;6/9/09;6/15/09;6/15/09
