Europawahl 2014 - Stimmen;;;;;;;Stand:;41785,6680579051;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;leer;;FPÖ;;GRÜNE;;BZÖ;;NEOS;;REKOS;;ANDERS;;EUSTOP;;WANDL;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41017;Pasching                      ;5.275; 	2.402 ; 	45,54 ; 	79 ; 	3,29 ; 	2.323 ; 	96,71 ; 	426 ; 	18,34 ; 	724 ; 	31,17 ; 	0 ; 	0 ; 	561 ; 	24,15 ; 	300 ; 	12,91 ; 	13 ; 	0,56 ; 	181 ; 	7,79 ; 	13 ; 	0,56 ; 	37 ; 	1,59 ; 	68 ; 	2,93 ; 	0 ; 	0 ;41784,7136765046;41784,7136765046;41784,7136765046;41784,7136765046
41018;Piberbach                     ;1.480; 	668 ; 	45,14 ; 	32 ; 	4,79 ; 	636 ; 	95,21 ; 	159 ; 	25,00 ; 	171 ; 	26,89 ; 	0 ; 	0 ; 	147 ; 	23,11 ; 	76 ; 	11,95 ; 	3 ; 	0,47 ; 	40 ; 	6,29 ; 	9 ; 	1,42 ; 	12 ; 	1,89 ; 	19 ; 	2,99 ; 	0 ; 	0 ;41784,5694126157;41784,5694126157;41784,5694126157;41784,5694126157
41019;Pucking                       ;3.097; 	1.433 ; 	46,27 ; 	62 ; 	4,33 ; 	1.371 ; 	95,67 ; 	321 ; 	23,41 ; 	315 ; 	22,98 ; 	0 ; 	0 ; 	410 ; 	29,91 ; 	129 ; 	9,41 ; 	4 ; 	0,29 ; 	104 ; 	7,59 ; 	9 ; 	0,66 ; 	24 ; 	1,75 ; 	55 ; 	4,01 ; 	0 ; 	0 ;41784,6825269329;41784,6825269329;41784,6825269329;41784,6825269329
41020;St.Marien                     ;3.758; 	1.741 ; 	46,33 ; 	87 ; 	5,00 ; 	1.654 ; 	95,00 ; 	526 ; 	31,80 ; 	407 ; 	24,61 ; 	0 ; 	0 ; 	278 ; 	16,81 ; 	203 ; 	12,27 ; 	4 ; 	0,24 ; 	138 ; 	8,34 ; 	32 ; 	1,93 ; 	22 ; 	1,33 ; 	44 ; 	2,66 ; 	0 ; 	0 ;41784,5741503819;41784,5741503819;41784,5741503819;41784,5741503819
41021;Traun                         ;16.504; 	6.370 ; 	38,60 ; 	216 ; 	3,39 ; 	6.154 ; 	96,61 ; 	983 ; 	15,97 ; 	2.081 ; 	33,82 ; 	0 ; 	0 ; 	1.666 ; 	27,07 ; 	639 ; 	10,38 ; 	32 ; 	0,52 ; 	350 ; 	5,69 ; 	51 ; 	0,83 ; 	160 ; 	2,60 ; 	192 ; 	3,12 ; 	0 ; 	0 ;41784,7138439468;41784,7138439468;41784,7138439468;41784,7138439468
41022;Wilhering                     ;4.624; 	2.198 ; 	47,53 ; 	56 ; 	2,55 ; 	2.142 ; 	97,45 ; 	643 ; 	30,02 ; 	505 ; 	23,58 ; 	0 ; 	0 ; 	269 ; 	12,56 ; 	397 ; 	18,53 ; 	10 ; 	0,47 ; 	211 ; 	9,85 ; 	19 ; 	0,89 ; 	57 ; 	2,66 ; 	31 ; 	1,45 ; 	0 ; 	0 ;41784,6307335995;41784,6307335995;41784,6307335995;41784,6307335995
41099;Wahlkarten Linz-Land                     ;0; 	5.887 ; 	0 ; 	112 ; 	1,90 ; 	5.775 ; 	98,10 ; 	1.205 ; 	20,87 ; 	1.672 ; 	28,95 ; 	0 ; 	0 ; 	899 ; 	15,57 ; 	947 ; 	16,40 ; 	28 ; 	0,48 ; 	651 ; 	11,27 ; 	34 ; 	0,59 ; 	128 ; 	2,22 ; 	211 ; 	3,65 ; 	0 ; 	0 ;41785,6680574074;41785,6680574074;41785,6680574074;41785,6680574074
41100;Bezirk Perg                          ;52.152; 	27.802 ; 	53,31 ; 	1.238 ; 	4,45 ; 	26.564 ; 	95,55 ; 	8.413 ; 	31,67 ; 	7.312 ; 	27,53 ; 	0 ; 	0 ; 	4.704 ; 	17,71 ; 	2.956 ; 	11,13 ; 	99 ; 	0,37 ; 	1.695 ; 	6,38 ; 	370 ; 	1,39 ; 	360 ; 	1,36 ; 	655 ; 	2,47 ; 	0 ; 	0 ;41784,7378573727;41784,7378573727;41785,5892220255;41785,5892220255
41101;Allerheiligen im Mühlkreis    ;963; 	468 ; 	48,60 ; 	26 ; 	5,56 ; 	442 ; 	94,44 ; 	165 ; 	37,33 ; 	118 ; 	26,70 ; 	0 ; 	0 ; 	78 ; 	17,65 ; 	39 ; 	8,82 ; 	2 ; 	0,45 ; 	22 ; 	4,98 ; 	4 ; 	0,90 ; 	6 ; 	1,36 ; 	8 ; 	1,81 ; 	0 ; 	0 ;41784,6405626968;41784,6405626968;41784,6405626968;41784,6405626968
41102;Arbing                        ;1.100; 	591 ; 	53,73 ; 	28 ; 	4,74 ; 	563 ; 	95,26 ; 	218 ; 	38,72 ; 	138 ; 	24,51 ; 	0 ; 	0 ; 	87 ; 	15,45 ; 	73 ; 	12,97 ; 	2 ; 	0,36 ; 	26 ; 	4,62 ; 	4 ; 	0,71 ; 	6 ; 	1,07 ; 	9 ; 	1,60 ; 	0 ; 	0 ;41784,6023631597;41784,6023631597;41784,6023631597;41784,6023631597
41103;Baumgartenberg                ;1.312; 	646 ; 	49,24 ; 	12 ; 	1,86 ; 	634 ; 	98,14 ; 	261 ; 	41,17 ; 	103 ; 	16,25 ; 	0 ; 	0 ; 	162 ; 	25,55 ; 	51 ; 	8,04 ; 	5 ; 	0,79 ; 	33 ; 	5,21 ; 	3 ; 	0,47 ; 	2 ; 	0,32 ; 	14 ; 	2,21 ; 	0 ; 	0 ;41784,671775081;41784,671775081;41784,671775081;41784,671775081
41104;Dimbach                       ;832; 	412 ; 	49,52 ; 	21 ; 	5,10 ; 	391 ; 	94,90 ; 	176 ; 	45,01 ; 	93 ; 	23,79 ; 	0 ; 	0 ; 	57 ; 	14,58 ; 	24 ; 	6,14 ; 	1 ; 	0,26 ; 	23 ; 	5,88 ; 	7 ; 	1,79 ; 	3 ; 	0,77 ; 	7 ; 	1,79 ; 	0 ; 	0 ;41784,5658765046;41784,5658765046;41784,6337401273;41784,6337401273
41105;Grein                         ;2.395; 	1.021 ; 	42,63 ; 	41 ; 	4,02 ; 	980 ; 	95,98 ; 	278 ; 	28,37 ; 	258 ; 	26,33 ; 	0 ; 	0 ; 	206 ; 	21,02 ; 	105 ; 	10,71 ; 	4 ; 	0,41 ; 	55 ; 	5,61 ; 	18 ; 	1,84 ; 	16 ; 	1,63 ; 	40 ; 	4,08 ; 	0 ; 	0 ;41784,6522080208;41784,6522080208;41784,6522080208;41784,6522080208
41106;Katsdorf                      ;2.340; 	1.120 ; 	47,86 ; 	51 ; 	4,55 ; 	1.069 ; 	95,45 ; 	301 ; 	28,16 ; 	305 ; 	28,53 ; 	0 ; 	0 ; 	167 ; 	15,62 ; 	178 ; 	16,65 ; 	2 ; 	0,19 ; 	76 ; 	7,11 ; 	3 ; 	0,28 ; 	15 ; 	1,40 ; 	22 ; 	2,06 ; 	0 ; 	0 ;41784,6640992708;41784,6640992708;41784,6640992708;41784,6640992708
41107;Klam                          ;694; 	297 ; 	42,80 ; 	16 ; 	5,39 ; 	281 ; 	94,61 ; 	103 ; 	36,65 ; 	49 ; 	17,44 ; 	0 ; 	0 ; 	64 ; 	22,78 ; 	27 ; 	9,61 ; 	1 ; 	0,36 ; 	17 ; 	6,05 ; 	3 ; 	1,07 ; 	4 ; 	1,42 ; 	13 ; 	4,63 ; 	0 ; 	0 ;41784,5658172106;41784,5658172106;41784,5658172106;41784,5658172106
41108;Bad Kreuzen                   ;1.775; 	818 ; 	46,08 ; 	41 ; 	5,01 ; 	777 ; 	94,99 ; 	440 ; 	56,63 ; 	62 ; 	7,98 ; 	0 ; 	0 ; 	131 ; 	16,86 ; 	54 ; 	6,95 ; 	4 ; 	0,51 ; 	44 ; 	5,66 ; 	13 ; 	1,67 ; 	5 ; 	0,64 ; 	24 ; 	3,09 ; 	0 ; 	0 ;41784,5756426736;41784,5756426736;41784,5756426736;41784,5756426736
41109;Langenstein                   ;1.951; 	956 ; 	49,00 ; 	55 ; 	5,75 ; 	901 ; 	94,25 ; 	162 ; 	17,98 ; 	377 ; 	41,84 ; 	0 ; 	0 ; 	174 ; 	19,31 ; 	78 ; 	8,66 ; 	2 ; 	0,22 ; 	55 ; 	6,10 ; 	4 ; 	0,44 ; 	16 ; 	1,78 ; 	33 ; 	3,66 ; 	0 ; 	0 ;41784,6675835648;41784,6675835648;41784,6675835648;41784,6675835648
41110;Luftenberg an der Donau       ;3.259; 	1.477 ; 	45,32 ; 	50 ; 	3,39 ; 	1.427 ; 	96,61 ; 	239 ; 	16,75 ; 	472 ; 	33,08 ; 	0 ; 	0 ; 	346 ; 	24,25 ; 	190 ; 	13,31 ; 	3 ; 	0,21 ; 	102 ; 	7,15 ; 	14 ; 	0,98 ; 	26 ; 	1,82 ; 	35 ; 	2,45 ; 	0 ; 	0 ;41784,6545183218;41784,6545183218;41784,7233323264;41784,7233323264
41111;Mauthausen                    ;3.688; 	1.927 ; 	52,25 ; 	70 ; 	3,63 ; 	1.857 ; 	96,37 ; 	385 ; 	20,73 ; 	711 ; 	38,29 ; 	0 ; 	0 ; 	349 ; 	18,79 ; 	212 ; 	11,42 ; 	8 ; 	0,43 ; 	131 ; 	7,05 ; 	17 ; 	0,92 ; 	16 ; 	0,86 ; 	28 ; 	1,51 ; 	0 ; 	0 ;41784,6632552893;41784,6632552893;41784,6632552893;41784,6632552893
41112;Mitterkirchen im Machland     ;1.370; 	682 ; 	49,78 ; 	29 ; 	4,25 ; 	653 ; 	95,75 ; 	263 ; 	40,28 ; 	150 ; 	22,97 ; 	0 ; 	0 ; 	117 ; 	17,92 ; 	47 ; 	7,20 ; 	2 ; 	0,31 ; 	43 ; 	6,58 ; 	9 ; 	1,38 ; 	7 ; 	1,07 ; 	15 ; 	2,30 ; 	0 ; 	0 ;41784,6443794792;41784,6443794792;41784,6774830671;41784,6774830671
41113;Münzbach                      ;1.293; 	574 ; 	44,39 ; 	50 ; 	8,71 ; 	524 ; 	91,29 ; 	258 ; 	49,24 ; 	75 ; 	14,31 ; 	0 ; 	0 ; 	95 ; 	18,13 ; 	29 ; 	5,53 ; 	4 ; 	0,76 ; 	34 ; 	6,49 ; 	13 ; 	2,48 ; 	5 ; 	0,95 ; 	11 ; 	2,10 ; 	0 ; 	0 ;41784,5428878125;41784,5428878125;41784,5428878125;41784,5428878125
41114;Naarn im Machlande            ;2.813; 	1.448 ; 	51,48 ; 	65 ; 	4,49 ; 	1.383 ; 	95,51 ; 	484 ; 	35,00 ; 	366 ; 	26,46 ; 	0 ; 	0 ; 	263 ; 	19,02 ; 	100 ; 	7,23 ; 	8 ; 	0,58 ; 	93 ; 	6,72 ; 	17 ; 	1,23 ; 	17 ; 	1,23 ; 	35 ; 	2,53 ; 	0 ; 	0 ;41784,6331331366;41784,6331331366;41784,6331331366;41784,6331331366
41115;Pabneukirchen                 ;1.377; 	591 ; 	42,92 ; 	29 ; 	4,91 ; 	562 ; 	95,09 ; 	257 ; 	45,73 ; 	110 ; 	19,57 ; 	0 ; 	0 ; 	90 ; 	16,01 ; 	50 ; 	8,90 ; 	2 ; 	0,36 ; 	27 ; 	4,80 ; 	4 ; 	0,71 ; 	8 ; 	1,42 ; 	14 ; 	2,49 ; 	0 ; 	0 ;41784,5767527431;41784,5767527431;41784,5767527431;41784,5767527431
41116;Perg                          ;6.029; 	2.709 ; 	44,93 ; 	130 ; 	4,80 ; 	2.579 ; 	95,20 ; 	787 ; 	30,52 ; 	672 ; 	26,06 ; 	0 ; 	0 ; 	471 ; 	18,26 ; 	308 ; 	11,94 ; 	11 ; 	0,43 ; 	177 ; 	6,86 ; 	35 ; 	1,36 ; 	51 ; 	1,98 ; 	67 ; 	2,60 ; 	0 ; 	0 ;41784,7378573264;41784,7378573264;41784,7378573264;41784,7378573264
41117;Rechberg                      ;743; 	425 ; 	57,20 ; 	27 ; 	6,35 ; 	398 ; 	93,65 ; 	224 ; 	56,28 ; 	48 ; 	12,06 ; 	0 ; 	0 ; 	36 ; 	9,05 ; 	38 ; 	9,55 ; 	2 ; 	0,50 ; 	14 ; 	3,52 ; 	29 ; 	7,29 ; 	4 ; 	1,01 ; 	3 ; 	0,75 ; 	0 ; 	0 ;41784,5547040856;41784,5547040856;41784,5547040856;41784,5547040856
41118;Ried in der Riedmark          ;3.325; 	1.612 ; 	48,48 ; 	54 ; 	3,35 ; 	1.558 ; 	96,65 ; 	489 ; 	31,39 ; 	519 ; 	33,31 ; 	0 ; 	0 ; 	214 ; 	13,74 ; 	173 ; 	11,10 ; 	5 ; 	0,32 ; 	86 ; 	5,52 ; 	17 ; 	1,09 ; 	22 ; 	1,41 ; 	33 ; 	2,12 ; 	0 ; 	0 ;41784,665003206;41784,665003206;41784,665003206;41784,665003206
41119;St.Georgen am Walde           ;1.685; 	740 ; 	43,92 ; 	56 ; 	7,57 ; 	684 ; 	92,43 ; 	262 ; 	38,30 ; 	187 ; 	27,34 ; 	0 ; 	0 ; 	122 ; 	17,84 ; 	41 ; 	5,99 ; 	2 ; 	0,29 ; 	34 ; 	4,97 ; 	14 ; 	2,05 ; 	7 ; 	1,02 ; 	15 ; 	2,19 ; 	0 ; 	0 ;41784,557959456;41784,557959456;41784,593496331;41784,593496331
41120;St.Georgen an der Gusen       ;3.049; 	1.508 ; 	49,46 ; 	63 ; 	4,18 ; 	1.445 ; 	95,82 ; 	317 ; 	21,94 ; 	537 ; 	37,16 ; 	0 ; 	0 ; 	237 ; 	16,40 ; 	190 ; 	13,15 ; 	7 ; 	0,48 ; 	88 ; 	6,09 ; 	7 ; 	0,48 ; 	17 ; 	1,18 ; 	45 ; 	3,11 ; 	0 ; 	0 ;41784,6936849884;41784,6936849884;41784,6936849884;41784,6936849884
41121;St.Nikola an der Donau        ;580; 	353 ; 	60,86 ; 	20 ; 	5,67 ; 	333 ; 	94,33 ; 	144 ; 	43,24 ; 	76 ; 	22,82 ; 	0 ; 	0 ; 	59 ; 	17,72 ; 	23 ; 	6,91 ; 	0 ; 	0 ; 	20 ; 	6,01 ; 	2 ; 	0,60 ; 	2 ; 	0,60 ; 	7 ; 	2,10 ; 	0 ; 	0 ;41784,5801930903;41784,5801930903;41784,5801930903;41784,5801930903
41122;St.Thomas am Blasenstein      ;725; 	393 ; 	54,21 ; 	26 ; 	6,62 ; 	367 ; 	93,38 ; 	217 ; 	59,13 ; 	47 ; 	12,81 ; 	0 ; 	0 ; 	38 ; 	10,35 ; 	17 ; 	4,63 ; 	0 ; 	0 ; 	15 ; 	4,09 ; 	18 ; 	4,90 ; 	4 ; 	1,09 ; 	11 ; 	3,00 ; 	0 ; 	0 ;41784,5271237269;41784,5271237269;41784,5271237269;41784,5271237269
41123;Saxen                         ;1.400; 	727 ; 	51,93 ; 	32 ; 	4,40 ; 	695 ; 	95,60 ; 	212 ; 	30,50 ; 	125 ; 	17,99 ; 	0 ; 	0 ; 	246 ; 	35,40 ; 	53 ; 	7,63 ; 	1 ; 	0,14 ; 	30 ; 	4,32 ; 	11 ; 	1,58 ; 	6 ; 	0,86 ; 	11 ; 	1,58 ; 	0 ; 	0 ;41784,5857233449;41784,5857233449;41784,5857233449;41784,5857233449
41124;Schwertberg                   ;4.022; 	1.955 ; 	48,61 ; 	88 ; 	4,50 ; 	1.867 ; 	95,50 ; 	385 ; 	20,62 ; 	702 ; 	37,60 ; 	0 ; 	0 ; 	298 ; 	15,96 ; 	276 ; 	14,78 ; 	4 ; 	0,21 ; 	110 ; 	5,89 ; 	29 ; 	1,55 ; 	27 ; 	1,45 ; 	36 ; 	1,93 ; 	0 ; 	0 ;41784,6876904282;41784,6876904282;41784,6876904282;41784,6876904282
41125;Waldhausen im Strudengau      ;2.301; 	1.119 ; 	48,63 ; 	71 ; 	6,34 ; 	1.048 ; 	93,66 ; 	375 ; 	35,78 ; 	268 ; 	25,57 ; 	0 ; 	0 ; 	186 ; 	17,75 ; 	101 ; 	9,64 ; 	4 ; 	0,38 ; 	57 ; 	5,44 ; 	15 ; 	1,43 ; 	7 ; 	0,67 ; 	35 ; 	3,34 ; 	0 ; 	0 ;41784,5582267708;41784,5582267708;41784,5582267708;41784,5582267708
41126;Windhaag bei Perg             ;1.131; 	523 ; 	46,24 ; 	32 ; 	6,12 ; 	491 ; 	93,88 ; 	199 ; 	40,53 ; 	74 ; 	15,07 ; 	0 ; 	0 ; 	87 ; 	17,72 ; 	53 ; 	10,79 ; 	3 ; 	0,61 ; 	34 ; 	6,92 ; 	27 ; 	5,50 ; 	3 ; 	0,61 ; 	11 ; 	2,24 ; 	0 ; 	0 ;41784,6581908912;41784,6581908912;41784,6581908912;41784,6581908912
41199;Wahlkarten Perg                          ;0; 	2.710 ; 	0 ; 	55 ; 	2,03 ; 	2.655 ; 	97,97 ; 	812 ; 	30,58 ; 	670 ; 	25,24 ; 	0 ; 	0 ; 	324 ; 	12,20 ; 	426 ; 	16,05 ; 	10 ; 	0,38 ; 	249 ; 	9,38 ; 	33 ; 	1,24 ; 	58 ; 	2,18 ; 	73 ; 	2,75 ; 	0 ; 	0 ;41785,5892217593;41785,5892217593;41785,5892217593;41785,5892217593
41200;Bezirk Ried im Innkreis              ;46.388; 	20.986 ; 	45,24 ; 	736 ; 	3,51 ; 	20.250 ; 	96,49 ; 	6.869 ; 	33,92 ; 	3.376 ; 	16,67 ; 	0 ; 	0 ; 	5.062 ; 	25,00 ; 	2.393 ; 	11,82 ; 	110 ; 	0,54 ; 	1.399 ; 	6,91 ; 	296 ; 	1,46 ; 	277 ; 	1,37 ; 	468 ; 	2,31 ; 	0 ; 	0 ;41784,7035044792;41784,7035044792;41785,5553131134;41785,5553131134
41201;Andrichsfurt                  ;576; 	194 ; 	33,68 ; 	8 ; 	4,12 ; 	186 ; 	95,88 ; 	106 ; 	56,99 ; 	10 ; 	5,38 ; 	0 ; 	0 ; 	34 ; 	18,28 ; 	18 ; 	9,68 ; 	2 ; 	1,08 ; 	10 ; 	5,38 ; 	4 ; 	2,15 ; 	0 ; 	0 ; 	2 ; 	1,08 ; 	0 ; 	0 ;41784,4952559838;41784,4952559838;41784,4952559838;41784,4952559838
41202;Antiesenhofen                 ;818; 	293 ; 	35,82 ; 	12 ; 	4,10 ; 	281 ; 	95,90 ; 	108 ; 	38,43 ; 	45 ; 	16,01 ; 	0 ; 	0 ; 	65 ; 	23,13 ; 	20 ; 	7,12 ; 	16 ; 	5,69 ; 	22 ; 	7,83 ; 	1 ; 	0,36 ; 	1 ; 	0,36 ; 	3 ; 	1,07 ; 	0 ; 	0 ;41784,5377985764;41784,5377985764;41784,5377985764;41784,5377985764
41203;Aurolzmünster                 ;2.304; 	773 ; 	33,55 ; 	21 ; 	2,72 ; 	752 ; 	97,28 ; 	190 ; 	25,27 ; 	175 ; 	23,27 ; 	0 ; 	0 ; 	223 ; 	29,65 ; 	68 ; 	9,04 ; 	1 ; 	0,13 ; 	57 ; 	7,58 ; 	8 ; 	1,06 ; 	9 ; 	1,20 ; 	21 ; 	2,79 ; 	0 ; 	0 ;41784,5892419329;41784,5892419329;41784,5892419329;41784,5892419329
41204;Eberschwang                   ;2.707; 	1.084 ; 	40,04 ; 	35 ; 	3,23 ; 	1.049 ; 	96,77 ; 	278 ; 	26,50 ; 	222 ; 	21,16 ; 	0 ; 	0 ; 	301 ; 	28,69 ; 	106 ; 	10,10 ; 	7 ; 	0,67 ; 	72 ; 	6,86 ; 	13 ; 	1,24 ; 	19 ; 	1,81 ; 	31 ; 	2,96 ; 	0 ; 	0 ;41784,6785763079;41784,6785763079;41784,6785763079;41784,6785763079
41205;Eitzing                       ;597; 	261 ; 	43,72 ; 	14 ; 	5,36 ; 	247 ; 	94,64 ; 	98 ; 	39,68 ; 	48 ; 	19,43 ; 	0 ; 	0 ; 	46 ; 	18,62 ; 	26 ; 	10,53 ; 	6 ; 	2,43 ; 	19 ; 	7,69 ; 	0 ; 	0 ; 	1 ; 	0,40 ; 	3 ; 	1,21 ; 	0 ; 	0 ;41784,5364014236;41784,5364014236;41784,5364014236;41784,5364014236
41206;Geiersberg                    ;440; 	211 ; 	47,95 ; 	6 ; 	2,84 ; 	205 ; 	97,16 ; 	83 ; 	40,49 ; 	33 ; 	16,10 ; 	0 ; 	0 ; 	45 ; 	21,95 ; 	23 ; 	11,22 ; 	0 ; 	0 ; 	9 ; 	4,39 ; 	2 ; 	0,98 ; 	3 ; 	1,46 ; 	7 ; 	3,41 ; 	0 ; 	0 ;41784,4918015393;41784,4918015393;41784,4918015393;41784,4918015393
41207;Geinberg                      ;1.097; 	419 ; 	38,20 ; 	17 ; 	4,06 ; 	402 ; 	95,94 ; 	137 ; 	34,08 ; 	61 ; 	15,17 ; 	0 ; 	0 ; 	112 ; 	27,86 ; 	48 ; 	11,94 ; 	1 ; 	0,25 ; 	23 ; 	5,72 ; 	12 ; 	2,99 ; 	3 ; 	0,75 ; 	5 ; 	1,24 ; 	0 ; 	0 ;41784,5466291319;41784,5466291319;41784,5466291319;41784,5466291319
41208;Gurten                        ;934; 	378 ; 	40,47 ; 	18 ; 	4,76 ; 	360 ; 	95,24 ; 	159 ; 	44,17 ; 	58 ; 	16,11 ; 	0 ; 	0 ; 	83 ; 	23,06 ; 	35 ; 	9,72 ; 	1 ; 	0,28 ; 	14 ; 	3,89 ; 	3 ; 	0,83 ; 	2 ; 	0,56 ; 	5 ; 	1,39 ; 	0 ; 	0 ;41784,5278609606;41784,5278609606;41784,5278609606;41784,5278609606
41209;Hohenzell                     ;1.673; 	768 ; 	45,91 ; 	41 ; 	5,34 ; 	727 ; 	94,66 ; 	286 ; 	39,34 ; 	97 ; 	13,34 ; 	0 ; 	0 ; 	126 ; 	17,33 ; 	102 ; 	14,03 ; 	4 ; 	0,55 ; 	58 ; 	7,98 ; 	36 ; 	4,95 ; 	7 ; 	0,96 ; 	11 ; 	1,51 ; 	0 ; 	0 ;41784,591340706;41784,591340706;41784,591340706;41784,591340706
41210;Kirchdorf am Inn              ;477; 	247 ; 	51,78 ; 	12 ; 	4,86 ; 	235 ; 	95,14 ; 	122 ; 	51,91 ; 	26 ; 	11,06 ; 	0 ; 	0 ; 	45 ; 	19,15 ; 	14 ; 	5,96 ; 	1 ; 	0,43 ; 	19 ; 	8,09 ; 	3 ; 	1,28 ; 	3 ; 	1,28 ; 	2 ; 	0,85 ; 	0 ; 	0 ;41784,5562614931;41784,5562614931;41784,5562614931;41784,5562614931
41211;Kirchheim im Innkreis         ;573; 	275 ; 	47,99 ; 	11 ; 	4,00 ; 	264 ; 	96,00 ; 	114 ; 	43,18 ; 	36 ; 	13,64 ; 	0 ; 	0 ; 	67 ; 	25,38 ; 	22 ; 	8,33 ; 	0 ; 	0 ; 	15 ; 	5,68 ; 	2 ; 	0,76 ; 	2 ; 	0,76 ; 	6 ; 	2,27 ; 	0 ; 	0 ;41784,5366028588;41784,5366028588;41784,5366028588;41784,5366028588
41212;Lambrechten                   ;1.053; 	453 ; 	43,02 ; 	24 ; 	5,30 ; 	429 ; 	94,70 ; 	184 ; 	42,89 ; 	43 ; 	10,02 ; 	0 ; 	0 ; 	126 ; 	29,37 ; 	30 ; 	6,99 ; 	0 ; 	0 ; 	27 ; 	6,29 ; 	3 ; 	0,70 ; 	4 ; 	0,93 ; 	12 ; 	2,80 ; 	0 ; 	0 ;41784,5762884606;41784,5762884606;41784,5762884606;41784,5762884606
41213;Lohnsburg am Kobernaußerwald  ;1.824; 	723 ; 	39,64 ; 	32 ; 	4,43 ; 	691 ; 	95,57 ; 	287 ; 	41,53 ; 	81 ; 	11,72 ; 	0 ; 	0 ; 	193 ; 	27,93 ; 	46 ; 	6,66 ; 	5 ; 	0,72 ; 	32 ; 	4,63 ; 	19 ; 	2,75 ; 	11 ; 	1,59 ; 	17 ; 	2,46 ; 	0 ; 	0 ;41784,5367694097;41784,5367694097;41784,5367694097;41784,5367694097
41214;Mehrnbach                     ;1.856; 	678 ; 	36,53 ; 	19 ; 	2,80 ; 	659 ; 	97,20 ; 	211 ; 	32,02 ; 	92 ; 	13,96 ; 	0 ; 	0 ; 	215 ; 	32,63 ; 	59 ; 	8,95 ; 	1 ; 	0,15 ; 	40 ; 	6,07 ; 	12 ; 	1,82 ; 	11 ; 	1,67 ; 	18 ; 	2,73 ; 	0 ; 	0 ;41784,5468133449;41784,5468133449;41784,5468133449;41784,5468133449
41215;Mettmach                      ;1.986; 	677 ; 	34,09 ; 	21 ; 	3,10 ; 	656 ; 	96,90 ; 	206 ; 	31,40 ; 	124 ; 	18,90 ; 	0 ; 	0 ; 	224 ; 	34,15 ; 	45 ; 	6,86 ; 	4 ; 	0,61 ; 	18 ; 	2,74 ; 	6 ; 	0,91 ; 	6 ; 	0,91 ; 	23 ; 	3,51 ; 	0 ; 	0 ;41784,5532909722;41784,5532909722;41784,5532909722;41784,5532909722
41216;Mörschwang                    ;258; 	151 ; 	58,53 ; 	5 ; 	3,31 ; 	146 ; 	96,69 ; 	67 ; 	45,89 ; 	14 ; 	9,59 ; 	0 ; 	0 ; 	22 ; 	15,07 ; 	17 ; 	11,64 ; 	1 ; 	0,68 ; 	17 ; 	11,64 ; 	2 ; 	1,37 ; 	2 ; 	1,37 ; 	4 ; 	2,74 ; 	0 ; 	0 ;41784,5275535532;41784,5275535532;41784,5275535532;41784,5275535532
41217;Mühlheim am Inn               ;544; 	223 ; 	40,99 ; 	10 ; 	4,48 ; 	213 ; 	95,52 ; 	50 ; 	23,47 ; 	55 ; 	25,82 ; 	0 ; 	0 ; 	52 ; 	24,41 ; 	40 ; 	18,78 ; 	0 ; 	0 ; 	7 ; 	3,29 ; 	3 ; 	1,41 ; 	2 ; 	0,94 ; 	4 ; 	1,88 ; 	0 ; 	0 ;41784,5536332176;41784,5536332176;41784,5536332176;41784,5536332176
41218;Neuhofen im Innkreis          ;1.826; 	774 ; 	42,39 ; 	22 ; 	2,84 ; 	752 ; 	97,16 ; 	260 ; 	34,57 ; 	142 ; 	18,88 ; 	0 ; 	0 ; 	157 ; 	20,88 ; 	81 ; 	10,77 ; 	1 ; 	0,13 ; 	60 ; 	7,98 ; 	16 ; 	2,13 ; 	6 ; 	0,80 ; 	29 ; 	3,86 ; 	0 ; 	0 ;41784,6033938657;41784,6033938657;41784,6033938657;41784,6033938657
41219;Obernberg am Inn              ;1.159; 	384 ; 	33,13 ; 	3 ; 	0,78 ; 	381 ; 	99,22 ; 	92 ; 	24,15 ; 	81 ; 	21,26 ; 	0 ; 	0 ; 	112 ; 	29,40 ; 	56 ; 	14,70 ; 	2 ; 	0,52 ; 	19 ; 	4,99 ; 	4 ; 	1,05 ; 	1 ; 	0,26 ; 	14 ; 	3,67 ; 	0 ; 	0 ;41784,6104858796;41784,6104858796;41784,6104858796;41784,6104858796
41220;Ort im Innkreis               ;925; 	363 ; 	39,24 ; 	15 ; 	4,13 ; 	348 ; 	95,87 ; 	124 ; 	35,63 ; 	46 ; 	13,22 ; 	0 ; 	0 ; 	107 ; 	30,75 ; 	31 ; 	8,91 ; 	1 ; 	0,29 ; 	19 ; 	5,46 ; 	7 ; 	2,01 ; 	4 ; 	1,15 ; 	9 ; 	2,59 ; 	0 ; 	0 ;41784,5470543982;41784,5470543982;41784,5470543982;41784,5470543982
